confirmed,deaths,estimated_population,city_ibge_code
4187,119,27807,5104807
745,23,8451,5104906
1315,37,8582,5105002
6066,103,35121,5105101
6069,155,41101,5105150
2103,40,16335,5105176
2128,49,11176,5105200
956,16,6186,5105234
22624,220,67620,5105259
447,7,2058,5105309
2031,47,10301,5105580
4020,60,16793,5105606
6535,149,27941,5105622
3212,80,15334,5105903
1310,27,5923,5106000
1578,43,13104,5106109
1823,29,15685,5106158
627,10,3805,5106208
3430,37,12831,5106216
1250,18,4464,5108808
1532,14,6751,5106182
709,8,3304,5108857
1306,11,8850,5108907
2750,23,9277,5108956
12454,153,46813,5106224
394,9,3932,5106174
1768,76,20563,5106232
564,16,3737,5106190
1766,28,12298,5106240
5129,76,20944,5106257
1037,9,4051,5106273
1730,22,9363,5106265
641,6,2705,5106315
990,24,4938,5106281
4526,38,11244,5106299
4979,88,22861,5106307
2856,70,17446,5106372
5148,145,35338,5106422
784,9,2649,5106455
4829,96,33315,5106505
1464,26,6843,5106653
359,6,1550,5106703
10085,252,45774,5106752
1446,23,12685,5106778
1683,10,5363,5106802
2116,61,12097,5106828
745,14,2877,5106851
3132,61,15916,5107008
21758,346,63092,5107040
4355,71,17937,5107065
451,7,2743,5107156
2129,40,10329,5107180
393,12,2422,5107198
1261,21,5150,5107206
548,5,4036,5107578
44021,974,236042,5107602
2241,62,17054,5107701
281,9,3295,5107750
1309,15,4563,5107248
645,7,2633,5107743
372,4,3506,5107768
1022,16,8460,5107776
502,14,3155,5107263
511,8,5334,5107792
1927,65,16999,5107800
2434,43,11843,5107859
217,8,4450,5107297
2471,41,21011,5107305
4401,113,18846,5107107
1329,20,5620,5107354
1060,27,4771,5107404
7333,66,26688,5107875
524,7,1678,5107883
33608,489,146005,5107909
22031,241,92769,5107925
1648,26,9429,5107941
23090,387,105711,5107958
3812,35,14046,5108006
2290,44,9473,5108055
646,16,3824,5108105
1001,23,3547,5108204
1133,16,3490,5108303
551,11,3126,5108352
52397,1499,287526,5108402
1812,35,11402,5108501
3611,58,16271,5105507
3976,53,26496,5108600
763,8,4942,4300034
830,11,3743,4300059
2992,36,16401,4300109
1791,36,6987,4300208
602,13,5827,4300307
15009,324,73028,4300406
538,5,3374,4300455
519,7,1949,4300471
1209,17,6067,4300505
395,2,1613,4300554
646,4,3036,4300570
30979,868,211352,4300604
526,12,7085,4300638
1710,27,7403,4300646
189,1,1343,4300661
973,8,5961,4300703
4377,35,13045,4300802
359,10,3562,4300851
1618,29,5771,4300877
847,8,6189,4300901
4916,56,20967,4301008
394,4,2951,4301073
2790,43,10279,4301057
1913,49,14177,4301107
2497,23,13413,4301206
2652,61,18238,4301305
1549,31,10423,4301404
1715,14,6602,4301503
553,6,3535,4301552
17597,326,121335,4301602
3378,62,14363,4301636
1163,14,6202,4301651
1032,11,6620,4301701
711,9,7519,4301750
836,18,5256,4301800
131,8,3257,4301859
914,9,4227,4301875
1724,57,13556,4301909
207,1,1655,4301925
945,14,2551,4301958
1478,15,11182,4302006
203,3,1958,4302055
35052,446,121803,4302105
388,7,2092,4302154
1637,13,6712,4302204
361,5,2468,4302220
639,5,2616,4302238
543,5,2778,4302253
1725,26,11309,4302303
3432,34,14255,4302352
306,3,1899,4302378
2012,40,12390,4302402
708,35,7702,4302451
600,22,6205,4302501
511,8,2111,4302584
682,10,3311,4302600
1071,7,5104,4302659
3026,64,20952,4302709
6597,102,33548,4302808
1387,16,12423,4302907
17288,232,81869,4303004
19891,529,131240,4303103
1142,14,5074,4303202
522,8,4823,4303301
1046,12,4700,4303400
8992,182,66478,4303509
661,8,2742,4303558
408,12,6406,4303608
500,4,3395,4303673
1183,11,5398,4303707
1345,7,5438,4303806
16918,280,69458,4303905
1221,23,4376,4304002
886,13,3295,4304101
5607,87,31421,4304200
1169,5,6151,4304309
2433,18,9647,4304358
10200,206,45488,4304408
8123,122,56211,4304507
66955,1790,348208,4304606
238,6,1705,4304614
528,6,1641,4304622
16117,244,54051,4304630
563,6,3699,4304655
4862,93,25409,4304663
2007,32,12064,4304689
688,3,2763,4304697
1453,9,4728,4304671
1269,28,8350,4304713
16918,294,62265,4304705
7233,61,30241,4304804
197,1,1351,4304853
1911,22,9051,4304903
453,15,3216,4304952
1646,33,8701,4305009
125208,1537,517451,4305108
326,4,2877,4305116
797,14,6047,4305124
570,7,4706,4305132
421,7,2296,4305157
1228,26,12413,4305173
3455,29,14189,4305207
2119,29,9239,4305306
7443,116,41258,4305355
517,12,3252,4305371
868,20,3719,4305405
936,5,6770,4305439
733,5,5480,4305447
3856,83,16583,4305454
1164,29,4719,4305504
781,3,2469,4305587
1038,15,3130,4305603
1970,7,6759,4305702
1927,18,9907,4305801
298,3,1495,4305835
299,7,2286,4305850
871,5,2520,4305871
1314,40,7268,4305900
279,6,1614,4305934
1192,5,3838,4305959
544,12,2743,4305975
2277,26,13357,4306007
1495,26,8067,4306056
651,2,2844,4306072
15832,251,59922,4306106
266,6,1799,4306130
1938,42,12402,4306205
1201,16,4736,4306304
700,7,2761,4306320
333,5,2378,4306353
274,5,3002,4306379
6776,81,33119,4306403
505,5,2008,4306429
752,6,3405,4306452
1558,28,15487,4306502
7288,111,38339,4306601
477,8,2527,4306551
194,7,2999,4306700
683,17,4462,4306734
548,4,1975,4306759
8575,149,41902,4306767
3612,59,22880,4306809
3662,85,25960,4306908
252,5,982,4306924
2120,32,8411,4306932
379,5,2758,4306957
553,4,2982,4306973
23937,221,106633,4307005
363,11,3170,4307054
559,8,4819,4307203
1110,9,6802,4307302
327,7,3287,4307401
389,15,2885,4307450
4001,54,15591,4307500
1469,21,5940,4307559
9506,155,50672,4307609
19523,408,83279,4307708
7012,78,34399,4307807
694,7,3650,4307815
577,8,2352,4307831
798,4,2741,4307864
15962,197,73061,4307906
1086,11,6663,4308003
388,6,2284,4308052
724,9,4608,4308078
3917,27,13640,4308102
7747,75,31063,4308201
234,1,1737,4308250
1582,32,10241,4308300
944,15,6616,4308409
327,8,2400,4308433
1452,10,4285,4308458
8912,89,31498,4308508
9656,85,35440,4308607
149,7,2886,4308656
948,6,5489,4308706
1265,24,8361,4308805
233,5,1626,4308854
3871,44,16184,4308904
3465,47,15863,4309001
1489,32,8204,4309050
12504,155,36555,4309100
367,4,2058,4309126
606,4,4352,4309159
32377,1033,283620,4309209
267,1,1490,4309258
13936,378,98239,4309308
6698,76,25968,4309407
1246,18,7463,4309506
1291,15,4917,4309555
1248,22,6814,4307104
385,3,3019,4309571
4642,48,19389,4309605
1040,11,6836,4309654
532,11,4736,4309704
624,7,4399,4309753
1109,14,4699,4309803
1805,40,7265,4309902
601,16,4000,4309951
7283,95,20413,4310009
7132,132,37340,4310108
23980,286,83764,4310207
559,5,4066,4310306
6557,145,23271,4310330
437,9,3100,4310363
0,0,,
1316,12,6109,4310405
139,4,2215,4310413
1707,13,6689,4310439
348,2,1880,4310462
1113,17,7141,4310504
849,18,5537,4310538
98,7,3460,4310553
299,3,2065,4310579
5853,72,37489,4310603
266,12,2397,4310652
466,3,3231,4310702
111,1,1881,4310751
5683,73,24690,4310801
652,11,3773,4310850
381,2,2706,4310876
615,4,3546,4310900
4455,57,26500,4311007
1957,37,10765,4311106
835,10,3662,4311122
227,3,3486,4311130
1475,21,8566,4311155
3452,46,19224,4311205
180,1,2921,4311239
375,5,1607,4311270
756,15,6461,4311254
6744,111,27778,4311304
22420,237,85033,4311403
511,17,2566,4311429
891,16,7444,4311502
827,11,5152,4311601
1534,16,6125,4311627
307,3,1719,4311643
1058,6,4562,4311718
1382,13,5427,4311700
439,3,2973,4311734
1237,12,7307,4311759
1246,24,6681,4311775
483,4,2702,4311791
12587,122,44858,4311809
707,8,4319,4311908
516,5,3888,4311981
233,5,2009,4312005
485,9,3995,4312054
1002,13,4797,4312104
611,17,2542,4312138
1242,8,4573,4312153
210,4,1629,4312179
966,13,4314,4312203
775,13,8103,4312252
1105,17,4911,4312302
372,9,1441,4312351
261,7,3232,4312377
545,9,2530,4312385
15856,181,65721,4312401
591,6,3113,4312427
678,5,2919,4312443
970,20,6589,4312450
1354,18,6513,4312476
1711,30,12847,4312500
1171,13,4961,4312609
278,6,3173,4312617
346,2,1897,4312625
5514,68,17758,4312658
130,7,1674,4312674
3093,51,11633,4312708
892,8,3663,4312757
1616,10,4826,4312807
2734,16,10005,4312906
603,2,1753,4312955
748,16,3337,4313003
500,5,2688,4313011
1884,11,5410,4313037
4475,78,21875,4313060
602,12,2558,4313086
1166,14,6515,4313102
6486,92,21536,4313201
5481,57,27648,4313300
584,4,2218,4313334
570,6,3717,4313359
5325,110,29905,4313375
1217,26,4175,4313490
825,6,4222,4313391
44946,1063,247032,4313409
354,5,3256,4313425
408,0,2200,4313441
411,5,1712,4313466
14901,195,46414,4313508
650,1,3778,4313607
2451,40,11330,4313656
7723,110,33131,4313706
1643,15,7056,4313805
12448,137,44128,4313904
2078,29,9083,4313953
2018,24,7727,4314001
959,17,7623,4314027
1063,7,3862,4314035
12642,243,58858,4314050
591,6,5747,4314068
1151,17,6574,4314076
57668,776,204722,4314100
466,2,2299,4314134
994,21,8515,4314159
328,4,1954,4314175
1245,30,7706,4314209
1310,11,3857,4314308
76478,1303,343132,4314407
885,11,5738,4314423
754,5,2580,4314456
548,6,1918,4314464
505,7,4329,4314472
714,9,4899,4314498
2640,33,12195,4314506
550,6,3036,4314548
227,18,2254,4314555
2104,37,20704,4314605
1756,25,10019,4314704
437,1,2101,4314753
387,11,3901,4314779
206,3,1524,4314787
6298,137,37561,4314803
245594,6180,1488252,4314902
671,9,4594,4315008
351,8,2352,4315057
197,5,1308,4315073
2771,58,10194,4315107
318,4,1612,4315131
700,4,2937,4315149
982,14,6239,4315156
160,6,1938,4315172
869,20,3889,4315206
4005,64,22607,4315305
156,3,1856,4315313
391,1,2790,4315321
1160,12,3803,4315354
1588,33,11669,4315404
392,4,2079,4315453
