,Município,AVG_IDADE,ID
1224,241360 SEVERIANO MELO,40.1,241360
1225,241370 SITIO NOVO,34.6,241370
1226,241380 TABOLEIRO GRANDE,34.1,241380
1227,241390 TAIPU,32.8,241390
1228,241400 TANGARA,32.2,241400
1229,241410 TENENTE ANANIAS,34.8,241410
1230,241415 TENENTE LAURENTINO CRUZ,30.7,241415
1231,241420 TIBAU DO SUL,30.7,241420
1232,241430 TIMBAUBA DOS BATISTAS,39.2,241430
1233,241440 TOUROS,32.0,241440
1234,241445 TRIUNFO POTIGUAR,32.5,241445
1235,241450 UMARIZAL,37.1,241450
1236,241460 UPANEMA,34.1,241460
1237,241470 VARZEA,35.8,241470
1238,241475 VENHA-VER,32.2,241475
1239,241480 VERA CRUZ,32.8,241480
1240,241490 VICOSA,36.1,241490
1241,241500 VILA FLOR,31.7,241500
1242,250010 AGUA BRANCA,33.1,250010
1243,250020 AGUIAR,36.7,250020
1244,250030 ALAGOA GRANDE,34.9,250030
1245,250040 ALAGOA NOVA,33.7,250040
1246,250050 ALAGOINHA,33.0,250050
1247,250053 ALCANTIL,35.0,250053
1248,250057 ALGODAO DE JANDAIRA,33.1,250057
1249,250060 ALHANDRA,30.9,250060
1250,250070 SAO JOAO DO RIO DO PEIXE,38.0,250070
1251,250073 AMPARO,33.3,250073
1252,250077 APARECIDA,36.3,250077
1253,250080 ARACAGI,35.7,250080
1254,250090 ARARA,36.3,250090
1255,250100 ARARUNA,33.0,250100
1256,250110 AREIA,34.4,250110
1257,250115 AREIA DE BARAUNAS,34.5,250115
1258,250120 AREIAL,35.5,250120
1259,250130 AROEIRAS,35.1,250130
1260,250135 ASSUNCAO,32.3,250135
1261,250140 BAIA DA TRAICAO,29.9,250140
1262,250150 BANANEIRAS,34.7,250150
1263,250153 BARAUNA,34.6,250153
1264,250157 BARRA DE SANTANA,36.7,250157
1265,250160 BARRA DE SANTA ROSA,34.9,250160
1266,250170 BARRA DE SAO MIGUEL,35.4,250170
1267,250180 BAYEUX,33.2,250180
1268,250190 BELEM,36.5,250190
1269,250200 BELEM DO BREJO DO CRUZ,35.9,250200
1270,250205 BERNARDINO BATISTA,33.0,250205
1271,250210 BOA VENTURA,35.9,250210
1272,250215 BOA VISTA,34.0,250215
1273,250220 BOM JESUS,35.3,250220
1274,250230 BOM SUCESSO,38.9,250230
1275,250240 BONITO DE SANTA FE,31.7,250240
1276,250250 BOQUEIRAO,34.1,250250
1277,250260 IGARACY,35.8,250260
1278,250270 BORBOREMA,33.9,250270
1279,250280 BREJO DO CRUZ,33.7,250280
1280,250290 BREJO DOS SANTOS,36.4,250290
1281,250300 CAAPORA,30.3,250300
1282,250310 CABACEIRAS,35.5,250310
1283,250320 CABEDELO,33.5,250320
1284,250330 CACHOEIRA DOS INDIOS,34.7,250330
1285,250340 CACIMBA DE AREIA,35.4,250340
1286,250350 CACIMBA DE DENTRO,35.0,250350
1287,250355 CACIMBAS,28.7,250355
1288,250360 CAICARA,35.4,250360
1289,250370 CAJAZEIRAS,35.0,250370
1290,250375 CAJAZEIRINHAS,34.3,250375
1291,250380 CALDAS BRANDAO,35.1,250380
1292,250390 CAMALAU,35.0,250390
1293,250400 CAMPINA GRANDE,34.7,250400
1294,250403 CAPIM,30.5,250403
1295,250407 CARAUBAS,36.3,250407
1296,250410 CARRAPATEIRA,33.8,250410
1297,250415 CASSERENGUE,34.0,250415
1298,250420 CATINGUEIRA,34.8,250420
1299,250430 CATOLE DO ROCHA,35.8,250430
1300,250435 CATURITE,34.2,250435
1301,250440 CONCEICAO,35.2,250440
1302,250450 CONDADO,38.1,250450
1303,250460 CONDE,30.8,250460
1304,250470 CONGO,36.3,250470
1305,250480 COREMAS,35.4,250480
1306,250485 COXIXOLA,38.5,250485
1307,250490 CRUZ DO ESPIRITO SANTO,31.6,250490
1308,250500 CUBATI,32.9,250500
1309,250510 CUITE,36.2,250510
1310,250520 CUITEGI,33.6,250520
1311,250523 CUITE DE MAMANGUAPE,34.3,250523
1312,250527 CURRAL DE CIMA,33.1,250527
1313,250530 CURRAL VELHO,33.2,250530
1314,250535 DAMIAO,33.0,250535
1315,250540 DESTERRO,34.4,250540
1316,250550 VISTA SERRANA,34.3,250550
1317,250560 DIAMANTE,34.9,250560
1318,250570 DONA INES,34.0,250570
1319,250580 DUAS ESTRADAS,35.3,250580
1320,250590 EMAS,32.6,250590
1321,250600 ESPERANCA,33.9,250600
1322,250610 FAGUNDES,34.9,250610
1323,250620 FREI MARTINHO,39.3,250620
1324,250625 GADO BRAVO,34.4,250625
1325,250630 GUARABIRA,34.2,250630
1326,250640 GURINHEM,34.5,250640
1327,250650 GURJAO,36.1,250650
1328,250660 IBIARA,38.0,250660
1329,250670 IMACULADA,31.1,250670
1330,250680 INGA,35.0,250680
1331,250690 ITABAIANA,35.7,250690
1332,250700 ITAPORANGA,33.3,250700
1333,250710 ITAPOROROCA,33.3,250710
1334,250720 ITATUBA,33.9,250720
1335,250730 JACARAU,35.0,250730
1336,250740 JERICO,36.8,250740
1337,250750 JOAO PESSOA,35.1,250750
1338,250760 JUAREZ TAVORA,34.0,250760
1339,250770 JUAZEIRINHO,31.6,250770
1340,250780 JUNCO DO SERIDO,33.6,250780
1341,250790 JURIPIRANGA,32.9,250790
1342,250800 JURU,35.6,250800
1343,250810 LAGOA,37.6,250810
1344,250820 LAGOA DE DENTRO,35.1,250820
1345,250830 LAGOA SECA,33.6,250830
1346,250840 LASTRO,35.6,250840
1347,250850 LIVRAMENTO,34.0,250850
1348,250855 LOGRADOURO,34.1,250855
1349,250860 LUCENA,31.8,250860
1350,250870 MAE D'AGUA,35.3,250870
1351,250880 MALTA,36.2,250880
1352,250890 MAMANGUAPE,32.0,250890
1353,250900 MANAIRA,32.9,250900
1354,250905 MARCACAO,29.3,250905
1355,250910 MARI,35.1,250910
1356,250915 MARIZOPOLIS,35.4,250915
1357,250920 MASSARANDUBA,34.3,250920
1358,250930 MATARACA,29.5,250930
1359,250933 MATINHAS,33.2,250933
1360,250937 MATO GROSSO,35.1,250937
1361,250939 MATUREIA,33.0,250939
1362,250940 MOGEIRO,34.5,250940
1363,250950 MONTADAS,34.2,250950
1364,250960 MONTE HOREBE,32.7,250960
1365,250970 MONTEIRO,35.5,250970
1366,250980 MULUNGU,34.7,250980
1367,250990 NATUBA,33.4,250990
1368,251000 NAZAREZINHO,36.5,251000
1369,251010 NOVA FLORESTA,35.1,251010
1370,251020 NOVA OLINDA,35.0,251020
1371,251030 NOVA PALMEIRA,36.2,251030
1372,251040 OLHO D'AGUA,35.4,251040
1373,251050 OLIVEDOS,35.5,251050
1374,251060 OURO VELHO,37.4,251060
1375,251065 PARARI,36.5,251065
1376,251070 PASSAGEM,34.1,251070
1377,251080 PATOS,34.1,251080
1378,251090 PAULISTA,36.1,251090
1379,251100 PEDRA BRANCA,35.2,251100
1380,251110 PEDRA LAVRADA,35.2,251110
1381,251120 PEDRAS DE FOGO,32.8,251120
1382,251130 PIANCO,36.2,251130
1383,251140 PICUI,35.0,251140
1384,251150 PILAR,33.3,251150
1385,251160 PILOES,31.9,251160
1386,251170 PILOEZINHOS,34.4,251170
1387,251180 PIRPIRITUBA,34.0,251180
1388,251190 PITIMBU,30.1,251190
1389,251200 POCINHOS,33.1,251200
1390,251203 POCO DANTAS,32.8,251203
1391,251207 POCO DE JOSE DE MOURA,36.8,251207
1392,251210 POMBAL,36.9,251210
1393,251220 PRATA,35.6,251220
1394,251230 PRINCESA ISABEL,33.6,251230
1395,251240 PUXINANA,33.0,251240
1396,251250 QUEIMADAS,33.9,251250
1397,251260 QUIXABA,32.0,251260
1398,251270 REMIGIO,34.2,251270
1399,251272 PEDRO REGIS,33.7,251272
1400,251274 RIACHAO,33.1,251274
1401,251275 RIACHAO DO BACAMARTE,34.9,251275
1402,251276 RIACHAO DO POCO,34.2,251276
1403,251278 RIACHO DE SANTO ANTONIO,32.1,251278
1404,251280 RIACHO DOS CAVALOS,34.9,251280
1405,251290 RIO TINTO,34.3,251290
1406,251300 SALGADINHO,32.7,251300
1407,251310 SALGADO DE SAO FELIX,36.6,251310
1408,251315 SANTA CECILIA,34.0,251315
1409,251320 SANTA CRUZ,40.0,251320
1410,251330 SANTA HELENA,38.9,251330
1411,251335 SANTA INES,32.7,251335
1412,251340 SANTA LUZIA,36.4,251340
1413,251350 SANTANA DE MANGUEIRA,34.5,251350
1414,251360 SANTANA DOS GARROTES,37.7,251360
1415,251365 JOCA CLAUDINO,37.0,251365
1416,251370 SANTA RITA,32.8,251370
1417,251380 SANTA TERESINHA,37.3,251380
1418,251385 SANTO ANDRE,38.3,251385
1419,251390 SAO BENTO,33.0,251390
1420,251392 SAO BENTINHO,35.8,251392
1421,251394 SAO DOMINGOS DO CARIRI,36.9,251394
1422,251396 SAO DOMINGOS,38.6,251396
1423,251398 SAO FRANCISCO,39.8,251398
1424,251400 SAO JOAO DO CARIRI,37.9,251400
1425,251410 SAO JOAO DO TIGRE,34.8,251410
1426,251420 SAO JOSE DA LAGOA TAPADA,36.7,251420
1427,251430 SAO JOSE DE CAIANA,31.8,251430
1428,251440 SAO JOSE DE ESPINHARAS,35.5,251440
1429,251445 SAO JOSE DOS RAMOS,33.9,251445
1430,251450 SAO JOSE DE PIRANHAS,34.6,251450
1431,251455 SAO JOSE DE PRINCESA,34.8,251455
1432,251460 SAO JOSE DO BONFIM,33.2,251460
1433,251465 SAO JOSE DO BREJO DO CRUZ,33.7,251465
1434,251470 SAO JOSE DO SABUGI,36.0,251470
1435,251480 SAO JOSE DOS CORDEIROS,36.8,251480
1436,251490 SAO MAMEDE,38.4,251490
1437,251500 SAO MIGUEL DE TAIPU,31.3,251500
1438,251510 SAO SEBASTIAO DE LAGOA DE ROCA,34.7,251510
1439,251520 SAO SEBASTIAO DO UMBUZEIRO,33.8,251520
1440,251530 SAPE,34.7,251530
1441,251540 SAO VICENTE DO SERIDO,31.9,251540
1442,251550 SERRA BRANCA,37.5,251550
1443,251560 SERRA DA RAIZ,35.2,251560
1444,251570 SERRA GRANDE,34.8,251570
1445,251580 SERRA REDONDA,36.4,251580
1446,251590 SERRARIA,34.2,251590
1447,251593 SERTAOZINHO,35.7,251593
1448,251597 SOBRADO,33.5,251597
1449,251600 SOLANEA,35.4,251600
1450,251610 SOLEDADE,34.1,251610
1451,251615 SOSSEGO,32.5,251615
1452,251620 SOUSA,35.5,251620
1453,251630 SUME,37.1,251630
1454,251640 TACIMA,34.6,251640
1455,251650 TAPEROA,35.1,251650
1456,251660 TAVARES,34.2,251660
1457,251670 TEIXEIRA,32.3,251670
1458,251675 TENORIO,32.7,251675
1459,251680 TRIUNFO,36.0,251680
1460,251690 UIRAUNA,37.1,251690
1461,251700 UMBUZEIRO,35.0,251700
1462,251710 VARZEA,37.6,251710
1463,251720 VIEIROPOLIS,38.3,251720
1464,251740 ZABELE,33.7,251740
1465,260005 ABREU E LIMA,35.4,260005
1466,260010 AFOGADOS DA INGAZEIRA,34.9,260010
1467,260020 AFRANIO,32.6,260020
1468,260030 AGRESTINA,34.1,260030
1469,260040 AGUA PRETA,30.9,260040
1470,260050 AGUAS BELAS,31.0,260050
1471,260060 ALAGOINHA,34.4,260060
1472,260070 ALIANCA,33.9,260070
1473,260080 ALTINHO,36.7,260080
1474,260090 AMARAJI,32.0,260090
1475,260100 ANGELIM,33.7,260100
1476,260105 ARACOIABA,31.3,260105
1477,260110 ARARIPINA,31.1,260110
1478,260120 ARCOVERDE,33.3,260120
1479,260130 BARRA DE GUABIRABA,31.4,260130
1480,260140 BARREIROS,31.5,260140
1481,260150 BELEM DE MARIA,31.5,260150
1482,260160 BELEM DE SAO FRANCISCO,31.7,260160
1483,260170 BELO JARDIM,33.9,260170
1484,260180 BETANIA,33.2,260180
1485,260190 BEZERROS,36.0,260190
1486,260200 BODOCO,31.6,260200
1487,260210 BOM CONSELHO,32.5,260210
1488,260220 BOM JARDIM,36.0,260220
1489,260230 BONITO,33.5,260230
1490,260240 BREJAO,32.9,260240
1491,260250 BREJINHO,34.3,260250
1492,260260 BREJO DA MADRE DE DEUS,31.3,260260
1493,260270 BUENOS AIRES,33.9,260270
1494,260280 BUIQUE,30.5,260280
1495,260290 CABO DE SANTO AGOSTINHO,33.1,260290
1496,260300 CABROBO,31.0,260300
1497,260310 CACHOEIRINHA,34.4,260310
1498,260320 CAETES,31.5,260320
1499,260330 CALCADO,32.6,260330
1500,260340 CALUMBI,35.1,260340
1501,260345 CAMARAGIBE,35.0,260345
1502,260350 CAMOCIM DE SAO FELIX,34.8,260350
1503,260360 CAMUTANGA,34.8,260360
1504,260370 CANHOTINHO,33.5,260370
1505,260380 CAPOEIRAS,33.4,260380
1506,260390 CARNAIBA,34.8,260390
1507,260392 CARNAUBEIRA DA PENHA,28.2,260392
1508,260400 CARPINA,34.5,260400
1509,260410 CARUARU,32.8,260410
1510,260415 CASINHAS,33.7,260415
1511,260420 CATENDE,31.5,260420
1512,260430 CEDRO,32.3,260430
1513,260440 CHA DE ALEGRIA,33.6,260440
1514,260450 CHA GRANDE,33.7,260450
1515,260460 CONDADO,33.4,260460
1516,260470 CORRENTES,33.3,260470
1517,260480 CORTES,31.6,260480
1518,260490 CUMARU,36.8,260490
1519,260500 CUPIRA,33.9,260500
1520,260510 CUSTODIA,34.4,260510
1521,260515 DORMENTES,32.8,260515
1522,260520 ESCADA,32.7,260520
1523,260530 EXU,32.9,260530
1524,260540 FEIRA NOVA,34.7,260540
1525,260545 FERNANDO DE NORONHA,33.1,260545
1526,260550 FERREIROS,34.1,260550
1527,260560 FLORES,36.0,260560
1528,260570 FLORESTA,30.7,260570
1529,260580 FREI MIGUELINHO,36.9,260580
1530,260590 GAMELEIRA,30.9,260590
1531,260600 GARANHUNS,33.1,260600
1532,260610 GLORIA DO GOITA,33.9,260610
1533,260620 GOIANA,33.8,260620
1534,260630 GRANITO,33.3,260630
1535,260640 GRAVATA,34.5,260640
1536,260650 IATI,32.0,260650
1537,260660 IBIMIRIM,31.3,260660
1538,260670 IBIRAJUBA,35.1,260670
1539,260680 IGARASSU,33.8,260680
1540,260690 IGUARACY,35.9,260690
1541,260700 INAJA,27.3,260700
1542,260710 INGAZEIRA,35.9,260710
1543,260720 IPOJUCA,29.6,260720
1544,260730 IPUBI,29.7,260730
1545,260740 ITACURUBA,31.0,260740
1546,260750 ITAIBA,32.6,260750
1547,260760 ILHA DE ITAMARACA,33.0,260760
1548,260765 ITAMBE,32.8,260765
1549,260770 ITAPETIM,36.8,260770
1550,260775 ITAPISSUMA,32.4,260775
1551,260780 ITAQUITINGA,31.8,260780
1552,260790 JABOATAO DOS GUARARAPES,34.6,260790
1553,260795 JAQUEIRA,30.6,260795
1554,260800 JATAUBA,33.0,260800
1555,260805 JATOBA,34.2,260805
1556,260810 JOAO ALFREDO,35.0,260810
1557,260820 JOAQUIM NABUCO,31.0,260820
1558,260825 JUCATI,31.7,260825
1559,260830 JUPI,33.2,260830
1560,260840 JUREMA,33.6,260840
1561,260845 LAGOA DO CARRO,33.5,260845
1562,260850 LAGOA DE ITAENGA,33.0,260850
1563,260860 LAGOA DO OURO,33.3,260860
1564,260870 LAGOA DOS GATOS,33.0,260870
1565,260875 LAGOA GRANDE,29.9,260875
1566,260880 LAJEDO,33.6,260880
1567,260890 LIMOEIRO,36.4,260890
1568,260900 MACAPARANA,34.5,260900
1569,260910 MACHADOS,31.1,260910
1570,260915 MANARI,28.2,260915
1571,260920 MARAIAL,30.1,260920
1572,260930 MIRANDIBA,32.1,260930
1573,260940 MORENO,34.3,260940
1574,260950 NAZARE DA MATA,35.6,260950
1575,260960 OLINDA,36.4,260960
1576,260970 OROBO,35.3,260970
1577,260980 OROCO,30.5,260980
1578,260990 OURICURI,31.4,260990
1579,261000 PALMARES,32.4,261000
1580,261010 PALMEIRINA,33.7,261010
1581,261020 PANELAS,33.5,261020
1582,261030 PARANATAMA,33.2,261030
1583,261040 PARNAMIRIM,32.9,261040
1584,261050 PASSIRA,35.5,261050
1585,261060 PAUDALHO,32.2,261060
1586,261070 PAULISTA,35.8,261070
1587,261080 PEDRA,33.0,261080
1588,261090 PESQUEIRA,33.8,261090
1589,261100 PETROLANDIA,30.7,261100
1590,261110 PETROLINA,30.5,261110
1591,261120 POCAO,33.3,261120
1592,261130 POMBOS,34.3,261130
1593,261140 PRIMAVERA,31.6,261140
1594,261150 QUIPAPA,31.5,261150
1595,261153 QUIXABA,34.1,261153
1596,261160 RECIFE,36.8,261160
1597,261170 RIACHO DAS ALMAS,34.6,261170
1598,261180 RIBEIRAO,33.0,261180
1599,261190 RIO FORMOSO,31.1,261190
1600,261200 SAIRE,36.2,261200
1601,261210 SALGADINHO,35.7,261210
1602,261220 SALGUEIRO,32.4,261220
1603,261230 SALOA,33.7,261230
1604,261240 SANHARO,31.7,261240
1605,261245 SANTA CRUZ,32.0,261245
1606,261247 SANTA CRUZ DA BAIXA VERDE,33.7,261247
1607,261250 SANTA CRUZ DO CAPIBARIBE,29.6,261250
1608,261255 SANTA FILOMENA,32.6,261255
1609,261260 SANTA MARIA DA BOA VISTA,30.2,261260
1610,261270 SANTA MARIA DO CAMBUCA,33.8,261270
1611,261280 SANTA TEREZINHA,33.3,261280
1612,261290 SAO BENEDITO DO SUL,32.5,261290
1613,261300 SAO BENTO DO UNA,32.0,261300
1614,261310 SAO CAITANO,32.6,261310
1615,261320 SAO JOAO,32.4,261320
1616,261330 SAO JOAQUIM DO MONTE,34.3,261330
1617,261340 SAO JOSE DA COROA GRANDE,31.3,261340
1618,261350 SAO JOSE DO BELMONTE,34.6,261350
1619,261360 SAO JOSE DO EGITO,35.4,261360
1620,261370 SAO LOURENCO DA MATA,33.8,261370
1621,261380 SAO VICENTE FERRER,33.3,261380
1622,261390 SERRA TALHADA,33.3,261390
1623,261400 SERRITA,32.8,261400
1624,261410 SERTANIA,34.1,261410
1625,261420 SIRINHAEM,29.8,261420
1626,261430 MOREILANDIA,33.2,261430
1627,261440 SOLIDAO,33.6,261440
1628,261450 SURUBIM,34.6,261450
1629,261460 TABIRA,34.2,261460
1630,261470 TACAIMBO,34.2,261470
1631,261480 TACARATU,31.6,261480
1632,261485 TAMANDARE,30.8,261485
1633,261500 TAQUARITINGA DO NORTE,32.6,261500
1634,261510 TEREZINHA,33.3,261510
1635,261520 TERRA NOVA,33.0,261520
1636,261530 TIMBAUBA,34.7,261530
1637,261540 TORITAMA,28.0,261540
1638,261550 TRACUNHAEM,32.7,261550
1639,261560 TRINDADE,29.8,261560
1640,261570 TRIUNFO,36.9,261570
1641,261580 TUPANATINGA,30.3,261580
1642,261590 TUPARETAMA,37.5,261590
1643,261600 VENTUROSA,32.8,261600
1644,261610 VERDEJANTE,33.7,261610
1645,261618 VERTENTE DO LERIO,35.6,261618
1646,261620 VERTENTES,33.1,261620
1647,261630 VICENCIA,32.3,261630
1648,261640 VITORIA DE SANTO ANTAO,34.5,261640
1649,261650 XEXEU,30.9,261650
1650,270010 AGUA BRANCA,31.8,270010
1651,270020 ANADIA,32.7,270020
1652,270030 ARAPIRACA,32.9,270030
1653,270040 ATALAIA,29.9,270040
1654,270050 BARRA DE SANTO ANTONIO,30.0,270050
1655,270060 BARRA DE SAO MIGUEL,30.2,270060
1656,270070 BATALHA,32.3,270070
1657,270080 BELEM,35.6,270080
1658,270090 BELO MONTE,32.7,270090
1659,270100 BOCA DA MATA,32.4,270100
1660,270110 BRANQUINHA,30.2,270110
1661,270120 CACIMBINHAS,33.0,270120
1662,270130 CAJUEIRO,30.0,270130
1663,270135 CAMPESTRE,30.2,270135
1664,270140 CAMPO ALEGRE,29.1,270140
1665,270150 CAMPO GRANDE,32.5,270150
1666,270160 CANAPI,30.6,270160
1667,270170 CAPELA,30.9,270170
1668,270180 CARNEIROS,29.5,270180
1669,270190 CHA PRETA,30.9,270190
1670,270200 COITE DO NOIA,34.6,270200
1671,270210 COLONIA LEOPOLDINA,29.9,270210
1672,270220 COQUEIRO SECO,32.5,270220
1673,270230 CORURIPE,30.7,270230
1674,270235 CRAIBAS,32.3,270235
1675,270240 DELMIRO GOUVEIA,32.4,270240
1676,270250 DOIS RIACHOS,32.3,270250
1677,270255 ESTRELA DE ALAGOAS,35.1,270255
1678,270260 FEIRA GRANDE,32.3,270260
1679,270270 FELIZ DESERTO,31.5,270270
1680,270280 FLEXEIRAS,31.3,270280
1681,270290 GIRAU DO PONCIANO,31.5,270290
1682,270300 IBATEGUARA,31.3,270300
1683,270310 IGACI,34.1,270310
1684,270320 IGREJA NOVA,32.4,270320
1685,270330 INHAPI,31.0,270330
1686,270340 JACARE DOS HOMENS,32.7,270340
1687,270350 JACUIPE,29.4,270350
1688,270360 JAPARATINGA,29.8,270360
1689,270370 JARAMATAIA,31.8,270370
1690,270375 JEQUIA DA PRAIA,30.9,270375
1691,270380 JOAQUIM GOMES,29.3,270380
1692,270390 JUNDIA,32.7,270390
1693,270400 JUNQUEIRO,33.0,270400
1694,270410 LAGOA DA CANOA,33.9,270410
1695,270420 LIMOEIRO DE ANADIA,33.6,270420
1696,270430 MACEIO,33.9,270430
1697,270440 MAJOR ISIDORO,32.9,270440
1698,270450 MARAGOGI,29.7,270450
1699,270460 MARAVILHA,33.4,270460
1700,270470 MARECHAL DEODORO,31.9,270470
1701,270480 MARIBONDO,34.2,270480
1702,270490 MAR VERMELHO,36.2,270490
1703,270500 MATA GRANDE,31.0,270500
1704,270510 MATRIZ DE CAMARAGIBE,30.9,270510
1705,270520 MESSIAS,29.5,270520
1706,270530 MINADOR DO NEGRAO,34.8,270530
1707,270540 MONTEIROPOLIS,30.8,270540
1708,270550 MURICI,29.9,270550
1709,270560 NOVO LINO,29.7,270560
1710,270570 OLHO D'AGUA DAS FLORES,32.3,270570
1711,270580 OLHO D'AGUA DO CASADO,30.1,270580
1712,270590 OLHO D'AGUA GRANDE,31.5,270590
1713,270600 OLIVENCA,32.9,270600
1714,270610 OURO BRANCO,32.7,270610
1715,270620 PALESTINA,32.4,270620
1716,270630 PALMEIRA DOS INDIOS,34.5,270630
1717,270640 PAO DE ACUCAR,32.3,270640
1718,270642 PARICONHA,32.1,270642
1719,270644 PARIPUEIRA,31.2,270644
1720,270650 PASSO DE CAMARAGIBE,29.4,270650
1721,270660 PAULO JACINTO,34.2,270660
1722,270670 PENEDO,32.7,270670
1723,270680 PIACABUCU,31.8,270680
1724,270690 PILAR,31.6,270690
1725,270700 PINDOBA,33.3,270700
1726,270710 PIRANHAS,30.0,270710
1727,270720 POCO DAS TRINCHEIRAS,29.6,270720
1728,270730 PORTO CALVO,30.7,270730
1729,270740 PORTO DE PEDRAS,31.6,270740
1730,270750 PORTO REAL DO COLEGIO,32.4,270750
1731,270760 QUEBRANGULO,33.0,270760
1732,270770 RIO LARGO,32.0,270770
1733,270780 ROTEIRO,27.4,270780
1734,270790 SANTA LUZIA DO NORTE,32.6,270790
1735,270800 SANTANA DO IPANEMA,31.2,270800
1736,270810 SANTANA DO MUNDAU,31.4,270810
1737,270820 SAO BRAS,33.8,270820
1738,270830 SAO JOSE DA LAJE,31.0,270830
1739,270840 SAO JOSE DA TAPERA,29.5,270840
1740,270850 SAO LUIS DO QUITUNDE,28.7,270850
1741,270860 SAO MIGUEL DOS CAMPOS,30.7,270860
1742,270870 SAO MIGUEL DOS MILAGRES,31.5,270870
1743,270880 SAO SEBASTIAO,31.2,270880
1744,270890 SATUBA,32.3,270890
1745,270895 SENADOR RUI PALMEIRA,29.7,270895
1746,270900 TANQUE D'ARCA,34.3,270900
1747,270910 TAQUARANA,34.1,270910
1748,270915 TEOTONIO VILELA,30.0,270915
1749,270920 TRAIPU,31.3,270920
1750,270930 UNIAO DOS PALMARES,31.6,270930
1751,270940 VICOSA,32.5,270940
1752,280010 AMPARO DE SAO FRANCISCO,32.5,280010
1753,280020 AQUIDABA,33.9,280020
1754,280030 ARACAJU,34.5,280030
1755,280040 ARAUA,32.8,280040
1756,280050 AREIA BRANCA,31.9,280050
1757,280060 BARRA DOS COQUEIROS,32.0,280060
1758,280067 BOQUIM,34.2,280067
1759,280070 BREJO GRANDE,29.0,280070
1760,280100 CAMPO DO BRITO,34.0,280100
1761,280110 CANHOBA,32.4,280110
1762,280120 CANINDE DE SAO FRANCISCO,28.8,280120
1763,280130 CAPELA,31.5,280130
1764,280140 CARIRA,33.5,280140
1765,280150 CARMOPOLIS,28.9,280150
1766,280160 CEDRO DE SAO JOAO,34.6,280160
1767,280170 CRISTINAPOLIS,30.1,280170
1768,280190 CUMBE,35.2,280190
1769,280200 DIVINA PASTORA,31.2,280200
1770,280210 ESTANCIA,32.9,280210
1771,280220 FEIRA NOVA,33.4,280220
1772,280230 FREI PAULO,33.2,280230
1773,280240 GARARU,33.2,280240
1774,280250 GENERAL MAYNARD,32.5,280250
1775,280260 GRACHO CARDOSO,35.5,280260
1776,280270 ILHA DAS FLORES,31.0,280270
1777,280280 INDIAROBA,29.0,280280
1778,280290 ITABAIANA,32.9,280290
1779,280300 ITABAIANINHA,31.4,280300
1780,280310 ITABI,37.2,280310
1781,280320 ITAPORANGA D'AJUDA,31.4,280320
1782,280330 JAPARATUBA,33.2,280330
1783,280340 JAPOATA,31.5,280340
1784,280350 LAGARTO,33.8,280350
1785,280360 LARANJEIRAS,30.4,280360
1786,280370 MACAMBIRA,35.0,280370
1787,280380 MALHADA DOS BOIS,31.4,280380
1788,280390 MALHADOR,33.6,280390
1789,280400 MARUIM,30.6,280400
1790,280410 MOITA BONITA,36.2,280410
1791,280420 MONTE ALEGRE DE SERGIPE,30.9,280420
1792,280430 MURIBECA,33.4,280430
1793,280440 NEOPOLIS,33.3,280440
1794,280445 NOSSA SENHORA APARECIDA,35.3,280445
1795,280450 NOSSA SENHORA DA GLORIA,32.4,280450
1796,280460 NOSSA SENHORA DAS DORES,33.1,280460
1797,280470 NOSSA SENHORA DE LOURDES,33.8,280470
1798,280480 NOSSA SENHORA DO SOCORRO,31.2,280480
1799,280490 PACATUBA,30.9,280490
1800,280500 PEDRA MOLE,34.2,280500
1801,280510 PEDRINHAS,32.7,280510
1802,280520 PINHAO,35.0,280520
1803,280530 PIRAMBU,30.9,280530
1804,280540 POCO REDONDO,29.6,280540
1805,280550 POCO VERDE,35.3,280550
1806,280560 PORTO DA FOLHA,31.7,280560
1807,280570 PROPRIA,33.2,280570
1808,280580 RIACHAO DO DANTAS,33.1,280580
1809,280590 RIACHUELO,30.5,280590
1810,280600 RIBEIROPOLIS,35.2,280600
1811,280610 ROSARIO DO CATETE,30.3,280610
1812,280620 SALGADO,33.7,280620
1813,280630 SANTA LUZIA DO ITANHY,29.7,280630
1814,280640 SANTANA DO SAO FRANCISCO,30.5,280640
1815,280650 SANTA ROSA DE LIMA,32.8,280650
1816,280660 SANTO AMARO DAS BROTAS,32.2,280660
1817,280670 SAO CRISTOVAO,31.9,280670
1818,280680 SAO DOMINGOS,33.8,280680
1819,280690 SAO FRANCISCO,33.4,280690
1820,280700 SAO MIGUEL DO ALEIXO,34.5,280700
1821,280710 SIMAO DIAS,34.4,280710
1822,280720 SIRIRI,31.2,280720
1823,280730 TELHA,32.2,280730
1824,280740 TOBIAS BARRETO,33.9,280740
1825,280750 TOMAR DO GERU,32.5,280750
1826,280760 UMBAUBA,31.2,280760
1827,290010 ABAIRA,41.3,290010
1828,290020 ABARE,31.2,290020
1829,290030 ACAJUTIBA,33.3,290030
1830,290035 ADUSTINA,34.7,290035
1831,290040 AGUA FRIA,35.2,290040
1832,290050 ERICO CARDOSO,37.3,290050
1833,290060 AIQUARA,36.5,290060
1834,290070 ALAGOINHAS,35.1,290070
1835,290080 ALCOBACA,32.1,290080
1836,290090 ALMADINA,38.0,290090
1837,290100 AMARGOSA,35.5,290100
